{'participant':	u'12345'		'response_buttons':	u'DC'		'range_in_instr':	True		'dateStr':	u'05_09_1428'		'autopilot':	False		'exp_id':	u'SNARC'}
12345	SNARC_only	CD	6	lctrl	0.580591917											
12345	SNARC_only	CD	5	num_separator	0.5019989014											
12345	SNARC_only	CD	6	lctrl	0.4671230316											
12345	SNARC_only	CD	1	num_separator	0.5448620319											
12345	SNARC_only	CD	5	num_separator	0.6948778629											
12345	SNARC_only	CD	4	lctrl	0.4600138664											
12345	SNARC_only	CD	3	num_separator	0.6149978638											
12345	SNARC_only	CD	4	lctrl	0.5397789478											
12345	SNARC_only	CD	9	num_separator	0.5082819462											
12345	SNARC_only	CD	6	lctrl	0.4615950584											
12345	SNARC_only	CD	7	num_separator	0.5779922009											
12345	SNARC_only	CD	9	num_separator	0.5767390728											
12345	SNARC_only	CD	6	lctrl	0.6142570972											
12345	SNARC_only	CD	7	num_separator	0.500412941											
12345	SNARC_only	CD	6	lctrl	0.4653060436											
12345	SNARC_only	CD	7	num_separator	0.6203761101											
12345	SNARC_only	CD	7	num_separator	0.4679141045											
12345	SNARC_only	CD	7	num_separator	0.4296579361											
12345	SNARC_only	CD	7	num_separator	0.4266340733											
12345	SNARC_only	CD	6	lctrl	0.4236910343											
12345	SNARC_only	CD	8	lctrl	0.4501740932											
12345	SNARC_only	CD	4	lctrl	0.4623370171											
12345	SNARC_only	CD	6	lctrl	0.3807229996											
12345	SNARC_only	CD	6	lctrl	0.3087117672											
12345	SNARC_only	CD	2	lctrl	0.4620091915											
12345	SNARC_only	CD	1	num_separator	0.6171090603											
12345	SNARC_only	CD	9	lctrl	0.5032339096											
12345	SNARC_only	CD	3	num_separator	0.5843639374											
12345	SNARC_only	CD	6	lctrl	0.4671020508											
12345	SNARC_only	CD	9	num_separator	0.6176681519											
12345	SNARC_only	CD	3	num_separator	0.6971650124											
12345	SNARC_only	CD	8	lctrl	0.6169061661											
12345	SNARC_only	CD	7	num_separator	0.9283599854											
12345	SNARC_only	CD	4	lctrl	0.43126297											
12345	SNARC_only	CD	4	lctrl	0.4668779373											
12345	SNARC_only	CD	2	lctrl	0.5832910538											
12345	SNARC_only	CD	5	num_separator	0.5688970089											
12345	SNARC_only	CD	4	lctrl	0.9273951054											
12345	SNARC_only	CD	5	num_separator	0.7010138035											
12345	SNARC_only	CD	9	num_separator	0.6208329201											
12345	SNARC_only	CD	7	num_separator	0.5842411518											
12345	SNARC_only	CD	8	lctrl	0.5056679249											
12345	SNARC_only	CD	4	lctrl	0.4976298809											
12345	SNARC_only	CD	7	num_separator	0.5013759136											
12345	SNARC_only	CD	4	lctrl	0.5051219463											
12345	SNARC_only	CD	3	num_separator	0.5744929314											
12345	SNARC_only	CD	2	lctrl	0.5850009918											
12345	SNARC_only	CD	6	lctrl	0.5063669682											
12345	SNARC_only	CD	2	lctrl	0.4597790241											
12345	SNARC_only	CD	8	lctrl	0.4214179516											
12345	SNARC_only	CD	2	lctrl	0.5075461864											
12345	SNARC_only	CD	6	lctrl	0.6155619621											
12345	SNARC_only	CD	1	num_separator	0.5402719975											
12345	SNARC_only	CD	8	lctrl	0.767647028											
12345	SNARC_only	CD	6	lctrl	0.5007638931											
12345	SNARC_only	CD	4	lctrl	0.5432209969											
12345	SNARC_only	CD	3	num_separator	0.4999349117											
12345	SNARC_only	CD	4	lctrl	0.9678249359											
12345	SNARC_only	CD	9	num_separator	0.8102769852											
12345	SNARC_only	CD	8	lctrl	0.8561799526											
12345	SNARC_only	CD	3	num_separator	0.5843238831											
12345	SNARC_only	CD	3	num_separator	0.5831458569											
12345	SNARC_only	CD	5	lctrl	0.7366161346											
12345	SNARC_only	CD	9	num_separator	0.5824480057											
12345	SNARC_only	CD	8	lctrl	0.5425651073											
12345	SNARC_only	CD	3	num_separator	0.7313380241											
12345	SNARC_only	CD	9	num_separator	0.5771858692											
12345	SNARC_only	CD	3	num_separator	0.8079969883											
12345	SNARC_only	CD	8	lctrl	0.5058169365											
12345	SNARC_only	CD	2	lctrl	0.7297968864											
12345	SNARC_only	CD	2	lctrl	0.3435809612											
12345	SNARC_only	CD	1	num_separator	0.5776231289											
12345	SNARC_only	CD	2	lctrl	0.6104969978											
12345	SNARC_only	CD	8	lctrl	0.5083808899											
12345	SNARC_only	CD	8	lctrl	0.4230549335											
12345	SNARC_only	CD	7	num_separator	0.6134779453											
12345	SNARC_only	CD	2	lctrl	0.4608581066											
12345	SNARC_only	CD	5	num_separator	0.6158819199											
12345	SNARC_only	CD	9	num_separator	0.6822547913											
12345	SNARC_only	CD	5	num_separator	0.5751769543											
12345	SNARC_only	CD	3	num_separator	0.4310450554											
12345	SNARC_only	CD	5	num_separator	0.7374470234											
12345	SNARC_only	CD	6	num_separator	0.6088721752											
12345	SNARC_only	CD	1	num_separator	0.4680829048											
12345	SNARC_only	CD	6	num_separator	0.7393789291											
12345	SNARC_only	CD	3	num_separator	0.5720551014											
12345	SNARC_only	CD	5	num_separator	0.4279141426											
12345	SNARC_only	CD	4	lctrl	0.4249641895											
12345	SNARC_only	CD	2	lctrl	0.499256134											
12345	SNARC_only	CD	7	num_separator	0.6059069633											
12345	SNARC_only	CD	4	lctrl	0.6152229309											
12345	SNARC_only	CD	1	num_separator	0.9653580189											
12345	SNARC_only	CD	9	num_separator	0.7305850983											
12345	SNARC_only	CD	5	num_separator	0.6925499439											
12345	SNARC_only	CD	9	num_separator	0.5853509903											
12345	SNARC_only	CD	8	lctrl	0.5841350555											
12345	SNARC_only	CD	5	num_separator	0.7762668133											
12345	SNARC_only	CD	2	lctrl	0.9230699539											
12345	SNARC_only	CD	4	lctrl	0.61927104											
12345	SNARC_only	CD	1	num_separator	0.9307529926											
12345	SNARC_only	CD	3	num_separator	0.5766170025											
12345	SNARC_only	CD	9	num_separator	0.6913831234											
12345	SNARC_only	CD	4	lctrl	0.5843818188											
12345	SNARC_only	CD	2	lctrl	0.4670140743											
12345	SNARC_only	CD	9	num_separator	0.8541691303											
12345	SNARC_only	CD	5	num_separator	0.7370898724											
12345	SNARC_only	CD	4	lctrl	0.8149290085											
12345	SNARC_only	CD	8	lctrl	0.573734045											
12345	SNARC_only	CD	8	lctrl	0.3909580708											
12345	SNARC_only	CD	2	lctrl	0.7279620171											
12345	SNARC_only	CD	5	num_separator	0.5082509518											
12345	SNARC_only	CD	9	num_separator	0.4230468273											
12345	SNARC_only	CD	2	lctrl	0.4973139763											
12345	SNARC_only	CD	7	num_separator	1.2358598709											
12345	SNARC_only	CD	8	lctrl	0.5757420063											
12345	SNARC_only	CD	9	num_separator	0.6859641075											
12345	SNARC_only	CD	3	num_separator	0.4628469944											
12345	SNARC_only	CD	7	num_separator	0.6822340488											
12345	SNARC_only	CD	4	lctrl	0.8844738007											
12345	SNARC_only	CD	4	lctrl	0.4226469994											
12345	SNARC_only	CD	9	num_separator	0.5744590759											
12345	SNARC_only	CD	3	num_separator	0.7264230251											
12345	SNARC_only	CD	8	lctrl	0.4680781364											
12345	SNARC_only	CD	1	num_separator	0.6618320942											
12345	SNARC_only	CD	1	num_separator	0.5009858608											
12345	SNARC_only	CD	3	num_separator	0.6207950115											
12345	SNARC_only	CD	6	lctrl	0.7002358437											
12345	SNARC_only	CD	7	num_separator	0.6456358433											
12345	SNARC_only	CD	2	lctrl	0.7789120674											
12345	SNARC_only	CD	8	lctrl	0.8827011585											
12345	SNARC_only	CD	1	num_separator	0.575314045											
12345	SNARC_only	CD	5	num_separator	0.6632051468											
12345	SNARC_only	CD	3	num_separator	0.6957530975											
12345	SNARC_only	CD	2	lctrl	0.615568161											
12345	SNARC_only	CD	9	num_separator	0.5790431499											
12345	SNARC_only	CD	3	num_separator	0.5391361713											
12345	SNARC_only	CD	8	lctrl	0.4689500332											
12345	SNARC_only	CD	3	num_separator	0.5467541218											
12345	SNARC_only	CD	5	num_separator	0.5679559708											
12345	SNARC_only	CD	1	num_separator	0.5395629406											
12345	SNARC_only	CD	2	num_separator	0.4177360535											
12345	SNARC_only	CD	1	num_separator	0.5812520981											
12345	SNARC_only	CD	1	num_separator	0.4253201485											
12345	SNARC_only	CD	9	num_separator	0.4610800743											
12345	SNARC_only	CD	1	num_separator	0.5512919426											
12345	SNARC_only	CD	9	num_separator	0.5854129791											
12345	SNARC_only	CD	2	lctrl	0.622879982											
12345	SNARC_only	CD	4	lctrl	1.1933248043											
12345	SNARC_only	CD	5	num_separator	0.6576111317											
12345	SNARC_only	CD	9	num_separator	0.5084779263											
12345	SNARC_only	CD	8	lctrl	0.8485620022											
12345	SNARC_only	CD	2	lctrl	0.4220230579											
12345	SNARC_only	CD	9	num_separator	0.6241950989											
12345	SNARC_only	CD	8	lctrl	0.5758609772											
12345	SNARC_only	CD	9	num_separator	0.6520571709											
12345	SNARC_only	CD	9	num_separator	0.4255819321											
12345	SNARC_only	CD	2	lctrl	0.4999489784											
12345	SNARC_only	CD	6	lctrl	0.4649589062											
12345	SNARC_only	CD	7	num_separator	0.4653799534											
12345	SNARC_only	CD	7	num_separator	0.4140789509											
12345	SNARC_only	CD	5	num_separator	0.5389289856											
12345	SNARC_only	CD	4	lctrl	0.430013895											
12345	SNARC_only	CD	6	lctrl	0.4657080173											
12345	SNARC_only	CD	1	num_separator	0.5048308373											
12345	SNARC_only	CD	4	lctrl	0.4699299335											
12345	SNARC_only	CD	7	num_separator	0.6906919479											
12345	SNARC_only	CD	2	lctrl	0.5448608398											
12345	SNARC_only	CD	1	num_separator	0.5403199196											
12345	SNARC_only	CD	5	num_separator	0.6130940914											
12345	SNARC_only	CD	6	lctrl	0.5379378796											
12345	SNARC_only	CD	3	num_separator	0.4677610397											
12345	SNARC_only	CD	3	num_separator	0.4295561314											
12345	SNARC_only	CD	1	num_separator	0.7228031158											
12345	SNARC_only	CD	9	lctrl	0.6578080654											
12345	SNARC_only	CD	7	num_separator	0.5086579323											
12345	SNARC_only	CD	4	lctrl	0.8874089718											
12345	SNARC_only	CD	2	lctrl	0.4255130291											
12345	SNARC_only	CD	3	num_separator	1.7760169506											
12345	SNARC_only	CD	6	lctrl	1.0387749672											
12345	SNARC_only	CD	5	num_separator	0.8494999409											
12345	SNARC_only	CD	3	num_separator	0.4616727829											
12345	SNARC_only	CD	5	num_separator	0.4620828629											
12345	SNARC_only	CD	1	num_separator	0.5011999607											
12345	SNARC_only	CD	1	num_separator	0.4277770519											
12345	SNARC_only	CD	6	lctrl	1.0821218491											
12345	SNARC_only	CD	3	num_separator	0.8070459366											
12345	SNARC_only	CD	4	lctrl	1.1236071587											
12345	SNARC_only	CD	8	lctrl	1.2772619724											
12345	SNARC_only	CD	8	lctrl	1.0072710514											
12345	SNARC_only	CD	8	lctrl	0.4278039932											
12345	SNARC_only	CD	8	lctrl	0.3815000057											
12345	SNARC_only	CD	1	num_separator	1.5083210468											
12345	SNARC_only	CD	2	lctrl	1.5058310032											
12345	SNARC_only	CD	5	num_separator	1.039110899											
12345	SNARC_only	CD	2	lctrl	0.5017259121											
12345	SNARC_only	CD	6	lctrl	0.7375180721											
12345	SNARC_only	CD	1	num_separator	0.5059440136											
12345	SNARC_only	CD	4	num_separator	0.5754299164											
12345	SNARC_only	CD	6	lctrl	0.7019350529											
12345	SNARC_only	CD	1	num_separator	0.4670968056											
12345	SNARC_only	CD	1	num_separator	0.3901801109											
12345	SNARC_only	CD	2	lctrl	0.538670063											
12345	SNARC_only	CD	4	lctrl	0.4297189713											
12345	SNARC_only	CD	6	lctrl	0.4267880917											
12345	SNARC_only	CD	7	num_separator	0.6558711529											
12345	SNARC_only	CD	7	num_separator	0.4294331074											
12345	SNARC_only	CD	9	num_separator	0.7358708382											
12345	SNARC_only	CD	9	num_separator	0.504349947											
12345	SNARC_only	CD	2	lctrl	0.5854618549											
12345	SNARC_only	CD	8	lctrl	0.3908720016											
12345	SNARC_only	CD	8	lctrl	0.3458659649											
12345	SNARC_only	CD	2	lctrl	0.4591939449											
12345	SNARC_only	CD	4	lctrl	0.5369369984											
12345	SNARC_only	CD	6	lctrl	0.4279918671											
12345	SNARC_only	CD	9	num_separator	0.7344059944											
12345	SNARC_only	CD	7	num_separator	0.6576349735											
12345	SNARC_only	CD	1	num_separator	0.6244711876											
12345	SNARC_only	CD	4	lctrl	0.5762028694											
12345	SNARC_only	CD	6	lctrl	0.6910319328											
12345	SNARC_only	CD	4	lctrl	0.5839409828											
12345	SNARC_only	CD	8	lctrl	0.5734460354											
12345	SNARC_only	CD	1	lctrl	0.8160459995											
12345	SNARC_only	CD	7	num_separator	0.9275557995											
12345	SNARC_only	CD	8	lctrl	0.5851919651											
12345	SNARC_only	CD	4	lctrl	0.5066399574											
12345	SNARC_only	CD	7	num_separator	0.6533751488											
12345	SNARC_only	CD	5	num_separator	0.6202049255											
12345	SNARC_only	CD	9	num_separator	0.5837140083											
12345	SNARC_only	CD	3	num_separator	0.5052731037											
12345	SNARC_only	CD	3	num_separator	0.4585897923											
12345	SNARC_only	CD	8	lctrl	0.5363459587											
12345	SNARC_only	CD	1	num_separator	0.6595349312											
12345	SNARC_only	CD	6	lctrl	0.8080818653											
12345	SNARC_only	CD	8	lctrl	0.5446019173											
12345	SNARC_only	CD	3	num_separator	0.656026125											
12345	SNARC_only	CD	1	num_separator	1.0096569061											
12345	SNARC_only	CD	5	num_separator	0.8556039333											
12345	SNARC_only	CD	9	num_separator	1.0479440689											
12345	SNARC_only	CD	2	lctrl	0.6146938801											
12345	SNARC_only	CD	4	lctrl	0.6942429543											
12345	SNARC_only	CD	5	num_separator	2.276804924											
12345	SNARC_only	CD	7	num_separator	0.5041639805											
12345	SNARC_only	CD	7	num_separator	0.585351944											
12345	SNARC_only	CD	5	num_separator	0.7257831097											
12345	SNARC	arabic	DC	down	9	num_separator	5.3453280926									
12345	SNARC	arabic	DC	up	8	num_separator	1.2762510777									
12345	SNARC	arabic	DC	down	1	lctrl	0.5925838947									
12345	SNARC	arabic	DC	up	4	num_separator	0.4706521034									
12345	SNARC	arabic	DC	up	1	num_separator	0.4710760117									
12345	SNARC	arabic	DC	up	8	num_separator	0.5101530552									
12345	SNARC	arabic	DC	up	2	num_separator	0.4752781391									
12345	SNARC	arabic	DC	up	7	num_separator	0.3984150887									
12345	SNARC	arabic	DC	down	6	lctrl	0.5973100662									
12345	SNARC	arabic	DC	down	3	lctrl	0.4024689198									
12345	SNARC	arabic	DC	down	4	lctrl	0.3960781097									
12345	SNARC	arabic	DC	up	4	num_separator	0.435562849									
12345	SNARC	arabic	DC	down	3	lctrl	0.3940110207									
12345	SNARC	arabic	DC	up	9	num_separator	0.3992800713									
12345	SNARC	arabic	DC	down	9	lctrl	0.3542840481									
12345	SNARC	arabic	DC	down	7	lctrl	0.4722781181									
12345	SNARC	arabic	DC	up	7	num_separator	0.3822770119									
12345	SNARC	arabic	DC	down	5	lctrl	0.3607017994									
12345	SNARC	arabic	DC	down	8	lctrl	0.4354808331									
12345	SNARC	arabic	DC	up	6	num_separator	0.5484969616									
12345	SNARC	arabic	DC	down	1	lctrl	0.3623120785									
12345	SNARC	arabic	DC	up	5	num_separator	0.325578928									
12345	SNARC	arabic	DC	up	4	lctrl	0.3242208958									
12345	SNARC	arabic	DC	up	7	lctrl	1.3282659054									
12345	SNARC	arabic	DC	down	1	lctrl	0.6703128815									
12345	SNARC	arabic	DC	up	6	num_separator	0.4320600033									
12345	SNARC	arabic	DC	up	4	num_separator	0.479334116									
12345	SNARC	arabic	DC	down	4	lctrl	0.6343810558									
12345	SNARC	arabic	DC	down	6	lctrl	0.4700460434									
12345	SNARC	arabic	DC	down	9	lctrl	0.5477280617									
12345	SNARC	arabic	DC	up	2	num_separator	0.5161709785									
12345	SNARC	arabic	DC	up	7	num_separator	0.4812729359									
12345	SNARC	arabic	DC	up	2	num_separator	0.4699001312									
12345	SNARC	arabic	DC	up	4	num_separator	0.9343590736									
12345	SNARC	arabic	DC	up	2	num_separator	0.5013971329									
12345	SNARC	arabic	DC	down	4	lctrl	0.3622198105									
12345	SNARC	arabic	DC	down	6	lctrl	0.3642818928									
12345	SNARC	arabic	DC	up	3	num_separator	0.5091621876									
12345	SNARC	arabic	DC	down	6	lctrl	0.4356498718									
12345	SNARC	arabic	DC	up	4	num_separator	0.587220192									
12345	SNARC	arabic	DC	down	7	lctrl	0.4699189663									
12345	SNARC	arabic	DC	down	9	lctrl	0.392870903									
12345	SNARC	arabic	DC	up	9	num_separator	0.4756300449									
12345	SNARC	arabic	DC	down	1	num_separator	0.4759588242									
12345	SNARC	arabic	DC	up	8	num_separator	0.5537068844									
12345	SNARC	arabic	DC	down	4	lctrl	0.3557021618									
12345	SNARC	arabic	DC	up	4	num_separator	0.6283619404									
12345	SNARC	arabic	DC	up	3	num_separator	0.4371891022									
12345	SNARC	arabic	DC	up	9	num_separator	0.4342179298									
12345	SNARC	arabic	DC	down	4	lctrl	0.5085449219									
12345	SNARC	arabic	DC	down	8	lctrl	0.4348680973									
12345	SNARC	arabic	DC	up	3	num_separator	0.5479569435									
12345	SNARC	arabic	DC	down	1	lctrl	0.6710381508									
12345	SNARC	arabic	DC	down	7	lctrl	0.4280478954									
12345	SNARC	arabic	DC	down	8	lctrl	0.4368538857									
12345	SNARC	arabic	DC	up	7	num_separator	0.5111401081									
12345	SNARC	arabic	DC	down	8	lctrl	0.4761929512									
12345	SNARC	arabic	DC	down	8	lctrl	0.3991799355									
12345	SNARC	arabic	DC	down	6	lctrl	0.3928101063									
12345	SNARC	arabic	DC	down	5	lctrl	0.3981471062									
12345	SNARC	arabic	DC	up	6	num_separator	0.5969889164									
12345	SNARC	arabic	DC	down	1	lctrl	0.4022920132									
12345	SNARC	arabic	DC	up	2	num_separator	0.8466720581									
12345	SNARC	arabic	DC	down	4	lctrl	0.659348011									
12345	SNARC	arabic	DC	up	6	num_separator	0.626116991									
12345	SNARC	arabic	DC	down	9	lctrl	0.6281819344									
12345	SNARC	arabic	DC	down	6	lctrl	0.5528929234									
12345	SNARC	arabic	DC	down	8	lctrl	0.5049269199									
12345	SNARC	arabic	DC	down	4	lctrl	0.4312851429									
12345	SNARC	arabic	DC	up	2	num_separator	0.7494528294									
12345	SNARC	arabic	DC	down	6	lctrl	0.5565440655									
12345	SNARC	arabic	DC	up	8	num_separator	1.2091970444									
12345	SNARC	arabic	DC	up	4	num_separator	0.4801149368									
12345	SNARC	arabic	DC	down	8	lctrl	0.4418320656									
12345	SNARC	arabic	DC	up	4	num_separator	0.5935339928									
12345	SNARC	arabic	DC	down	3	lctrl	0.4376831055									
12345	SNARC	arabic	DC	up	8	num_separator	0.550620079									
12345	SNARC	arabic	DC	down	1	lctrl	0.5576081276									
12345	SNARC	arabic	DC	down	4	lctrl	0.4757010937									
12345	SNARC	arabic	DC	down	3	lctrl	0.3985948563									
12345	SNARC	arabic	DC	up	5	num_separator	0.5586910248									
12345	SNARC	arabic	DC	up	9	num_separator	0.6313619614									
12345	SNARC	arabic	DC	up	2	num_separator	0.5561051369									
12345	SNARC	arabic	DC	down	1	lctrl	0.4741210938									
12345	SNARC	arabic	DC	down	2	lctrl	0.4744279385									
12345	SNARC	arabic	DC	up	5	num_separator	0.5475578308									
12345	SNARC	arabic	DC	down	9	lctrl	0.3613438606									
12345	SNARC	arabic	DC	down	4	lctrl	0.4406900406									
12345	SNARC	arabic	DC	up	8	num_separator	0.5922739506									
12345	SNARC	arabic	DC	down	7	lctrl	0.4749679565									
12345	SNARC	arabic	DC	up	2	num_separator	0.5913040638									
12345	SNARC	arabic	DC	up	1	num_separator	0.4353699684									
12345	SNARC	arabic	DC	up	1	num_separator	0.4323849678									
12345	SNARC	arabic	DC	down	5	lctrl	0.4411458969									
12345	SNARC	arabic	DC	up	1	num_separator	0.4637351036									
12345	SNARC	arabic	DC	up	2	num_separator	0.6691989899									
12345	SNARC	arabic	DC	down	6	lctrl	1.1774609089									
12345	SNARC	arabic	DC	down	9	lctrl	0.433193922									
12345	SNARC	arabic	DC	up	5	num_separator	0.5580217838									
12345	SNARC	arabic	DC	up	5	num_separator	0.3987140656									
12345	SNARC	arabic	DC	up	3	num_separator	0.4428169727									
12345	SNARC	arabic	DC	down	5	lctrl	0.4784860611									
12345	SNARC	arabic	DC	up	8	num_separator	0.517537117									
12345	SNARC	arabic	DC	up	3	num_separator	0.4322462082									
12345	SNARC	arabic	DC	up	1	num_separator	0.363681078									
12345	SNARC	arabic	DC	up	2	num_separator	0.547424078									
12345	SNARC	arabic	DC	up	8	num_separator	0.3998141289									
12345	SNARC	arabic	DC	down	5	lctrl	0.5094020367									
12345	SNARC	arabic	DC	up	4	num_separator	0.5518400669									
12345	SNARC	arabic	DC	up	6	num_separator	0.4312179089									
12345	SNARC	arabic	DC	down	4	lctrl	0.5560631752									
12345	SNARC	arabic	DC	down	5	lctrl	0.4352691174									
12345	SNARC	arabic	DC	up	7	num_separator	0.4663569927									
12345	SNARC	arabic	DC	up	3	num_separator	0.4011478424									
12345	SNARC	arabic	DC	up	5	num_separator	0.394879818									
12345	SNARC	arabic	DC	up	3	num_separator	0.8254919052									
12345	SNARC	arabic	DC	down	8	lctrl	0.5115468502									
12345	SNARC	arabic	DC	up	5	num_separator	0.476639986									
12345	SNARC	arabic	DC	up	8	num_separator	0.4770309925									
12345	SNARC	arabic	DC	up	2	num_separator	0.4000430107									
12345	SNARC	arabic	DC	down	7	lctrl	0.8577070236									
12345	SNARC	arabic	DC	up	2	num_separator	0.4698410034									
12345	SNARC	arabic	DC	down	8	lctrl	0.7021949291									
12345	SNARC	arabic	DC	down	9	lctrl	0.4017450809									
12345	SNARC	arabic	DC	down	3	lctrl	0.472630024									
12345	SNARC	arabic	DC	down	3	lctrl	0.627696991									
12345	SNARC	arabic	DC	up	9	num_separator	1.1324498653									
12345	SNARC	arabic	DC	down	6	lctrl	0.5126950741									
12345	SNARC	arabic	DC	up	7	num_separator	0.5550489426									
12345	SNARC	arabic	DC	down	7	num_separator	0.4213261604									
12345	SNARC	arabic	DC	up	5	num_separator	0.62216115									
12345	SNARC	arabic	DC	down	5	lctrl	0.3653070927									
12345	SNARC	arabic	DC	down	6	lctrl	0.432970047									
12345	SNARC	arabic	DC	up	4	num_separator	0.4030270576									
12345	SNARC	arabic	DC	down	7	lctrl	0.551295042									
12345	SNARC	arabic	DC	down	7	lctrl	0.4423518181									
12345	SNARC	arabic	DC	up	4	num_separator	0.4780349731									
12345	SNARC	arabic	DC	up	7	num_separator	0.7104260921									
12345	SNARC	arabic	DC	down	2	lctrl	0.5915019512									
12345	SNARC	arabic	DC	up	8	num_separator	0.5515880585									
12345	SNARC	arabic	DC	down	1	lctrl	0.4041371346									
12345	SNARC	arabic	DC	down	9	lctrl	0.3977329731									
12345	SNARC	arabic	DC	down	8	lctrl	0.4418389797									
12345	SNARC	arabic	DC	down	1	lctrl	0.4772758484									
12345	SNARC	arabic	DC	down	7	lctrl	0.400357008									
12345	SNARC	arabic	DC	down	8	lctrl	0.3939390183									
12345	SNARC	arabic	DC	up	8	num_separator	0.7086639404									
12345	SNARC	arabic	DC	up	9	num_separator	0.47377491									
12345	SNARC	arabic	DC	down	2	lctrl	0.396821022									
12345	SNARC	arabic	DC	up	6	num_separator	0.4795250893									
12345	SNARC	arabic	DC	down	7	lctrl	0.5186839104									
12345	SNARC	arabic	DC	up	5	num_separator	0.3945469856									
12345	SNARC	arabic	DC	up	7	num_separator	0.5546159744									
12345	SNARC	arabic	DC	down	4	lctrl	0.5112490654									
12345	SNARC	arabic	DC	down	4	lctrl	0.3990149498									
12345	SNARC	arabic	DC	down	5	lctrl	0.4700050354									
12345	SNARC	arabic	DC	up	2	num_separator	0.5090270042									
12345	SNARC	arabic	DC	down	1	lctrl	1.4795119762									
12345	SNARC	arabic	DC	up	5	num_separator	0.4024710655									
12345	SNARC	arabic	DC	down	8	lctrl	0.4736011028									
12345	SNARC	arabic	DC	up	2	num_separator	0.86054492									
12345	SNARC	arabic	DC	up	6	num_separator	0.5500459671									
12345	SNARC	arabic	DC	up	3	num_separator	0.5827310085									
12345	SNARC	arabic	DC	up	7	num_separator	0.515953064									
12345	SNARC	arabic	DC	up	8	num_separator	0.4810349941									
12345	SNARC	arabic	DC	up	3	num_separator	0.4040579796									
12345	SNARC	arabic	DC	up	7	num_separator	0.4363780022									
12345	SNARC	arabic	DC	up	1	num_separator	0.3947198391									
12345	SNARC	arabic	DC	down	2	lctrl	0.5162119865									
12345	SNARC	arabic	DC	up	9	num_separator	0.519849062									
12345	SNARC	arabic	DC	down	4	lctrl	0.782512188									
12345	SNARC	arabic	DC	up	2	num_separator	0.55437994									
12345	SNARC	arabic	DC	down	5	lctrl	0.4725241661									
12345	SNARC	arabic	DC	down	9	lctrl	0.4727208614									
12345	SNARC	arabic	DC	down	1	lctrl	0.4297909737									
12345	SNARC	arabic	DC	up	4	num_separator	0.4772360325									
12345	SNARC	arabic	DC	up	4	num_separator	0.4258849621									
12345	SNARC	arabic	DC	down	4	lctrl	0.6279978752									
12345	SNARC	arabic	DC	up	3	num_separator	0.5140061378									
12345	SNARC	arabic	DC	up	9	num_separator	0.5564351082									
12345	SNARC	arabic	DC	up	8	num_separator	0.4745180607									
12345	SNARC	arabic	DC	down	6	lctrl	0.474822998									
12345	SNARC	arabic	DC	up	6	num_separator	0.6685481071									
12345	SNARC	arabic	DC	down	7	lctrl	0.480684042									
12345	SNARC	arabic	DC	down	3	lctrl	0.4377248287									
12345	SNARC	arabic	DC	up	6	num_separator	0.4733800888									
12345	SNARC	arabic	DC	down	1	lctrl	0.4738130569									
12345	SNARC	arabic	DC	up	2	num_separator	0.4740700722									
12345	SNARC	arabic	DC	down	4	lctrl	0.4698390961									
12345	SNARC	arabic	DC	up	3	num_separator	0.3927781582									
12345	SNARC	arabic	DC	up	5	num_separator	0.4755899906									
12345	SNARC	arabic	DC	up	8	num_separator	0.4760229588									
12345	SNARC	arabic	DC	down	8	lctrl	0.5149600506									
12345	SNARC	arabic	DC	down	1	lctrl	0.5574030876									
12345	SNARC	arabic	DC	down	2	lctrl	0.6687250137									
12345	SNARC	arabic	DC	up	3	num_separator	0.5969250202									
12345	SNARC	arabic	DC	down	2	lctrl	0.4795558453									
12345	SNARC	arabic	DC	up	9	num_separator	0.5572500229									
12345	SNARC	arabic	DC	down	2	lctrl	0.3979079723									
12345	SNARC	arabic	DC	down	9	lctrl	0.5193910599									
12345	SNARC	arabic	DC	up	5	num_separator	0.4725320339									
12345	SNARC	arabic	DC	up	9	num_separator	0.4342489243									
12345	SNARC	arabic	DC	down	2	lctrl	0.4312918186									
12345	SNARC	arabic	DC	up	6	num_separator	0.4401009083									
12345	SNARC	arabic	DC	down	6	lctrl	0.4370970726									
12345	SNARC	arabic	DC	up	1	num_separator	0.3953371048									
12345	SNARC	arabic	DC	up	8	num_separator	0.6713449955									
12345	SNARC	arabic	DC	down	5	lctrl	0.5104191303									
12345	SNARC	arabic	DC	down	4	num_separator	0.4368610382									
12345	SNARC	arabic	DC	up	1	num_separator	0.4338219166									
12345	SNARC	arabic	DC	down	2	lctrl	0.4040250778									
12345	SNARC	arabic	DC	down	3	lctrl	0.3975191116									
12345	SNARC	arabic	DC	down	5	lctrl	0.437005043									
12345	SNARC	arabic	DC	down	7	lctrl	0.3952929974									
12345	SNARC	arabic	DC	down	2	lctrl	0.4778850079									
12345	SNARC	arabic	DC	down	4	lctrl	0.4782550335									
12345	SNARC	arabic	DC	up	7	num_separator	0.55590415									
12345	SNARC	arabic	DC	up	3	num_separator	0.4353089333									
12345	SNARC	arabic	DC	down	3	lctrl	0.5096728802									
12345	SNARC	arabic	DC	up	9	num_separator	0.5906510353									
12345	SNARC	arabic	DC	up	9	num_separator	0.3960769176									
12345	SNARC	arabic	DC	down	4	lctrl	0.440092802									
12345	SNARC	arabic	DC	down	4	lctrl	0.4758150578									
