{'participant':	u'12345'		'response_buttons':	u'DC'		'range_in_instr':	True		'dateStr':	u'05_09_1428'		'autopilot':	False		'exp_id':	u'SNARC'}
12345	SNARC_only	DC	3	lctrl	0.4281659126											
12345	SNARC_only	DC	6	num_separator	1.1211230755											
12345	SNARC_only	DC	3	lctrl	0.6173100472											
12345	SNARC_only	DC	5	lctrl	0.9287931919											
12345	SNARC_only	DC	7	lctrl	0.6517519951											
12345	SNARC_only	DC	2	num_separator	1.0826251507											
12345	SNARC_only	DC	3	lctrl	0.5754508972											
12345	SNARC_only	DC	7	lctrl	0.5859081745											
12345	SNARC_only	DC	9	lctrl	1.0873720646											
12345	SNARC_only	DC	4	num_separator	0.5801768303											
12345	SNARC_only	DC	8	num_separator	0.5788869858											
12345	SNARC_only	DC	7	lctrl	0.9256529808											
12345	SNARC_only	DC	7	lctrl	0.3899569511											
12345	SNARC_only	DC	4	num_separator	0.6928229332											
12345	SNARC_only	DC	7	lctrl	0.4565918446											
12345	SNARC_only	DC	5	lctrl	0.5460109711											
12345	SNARC_only	DC	6	num_separator	0.6573410034											
12345	SNARC_only	DC	7	lctrl	0.508177042											
12345	SNARC_only	DC	8	num_separator	0.5387809277											
12345	SNARC_only	DC	7	num_separator	0.4685819149											
12345	SNARC_only	DC	9	lctrl	0.5849878788											
12345	SNARC_only	DC	6	num_separator	0.6223721504											
12345	SNARC_only	DC	1	lctrl	0.6630818844											
12345	SNARC_only	DC	1	lctrl	0.5407378674											
12345	SNARC_only	DC	7	lctrl	0.9227490425											
12345	SNARC_only	DC	9	lctrl	0.8895640373											
12345	SNARC_only	DC	1	lctrl	0.7757689953											
12345	SNARC_only	DC	2	num_separator	0.7678480148											
12345	SNARC_only	DC	7	lctrl	0.5396080017											
12345	SNARC_only	DC	6	num_separator	0.7787740231											
12345	SNARC_only	DC	4	num_separator	0.9642488956											
12345	SNARC_only	DC	2	num_separator	0.6519818306											
12345	SNARC_only	DC	2	num_separator	0.4641819											
12345	SNARC_only	DC	9	lctrl	0.6578950882											
12345	SNARC_only	DC	2	num_separator	0.5742897987											
12345	SNARC_only	DC	8	num_separator	0.9583609104											
12345	SNARC_only	DC	5	lctrl	0.8899769783											
12345	SNARC_only	DC	9	lctrl	0.6169369221											
12345	SNARC_only	DC	6	num_separator	0.773706913											
12345	SNARC_only	DC	1	lctrl	0.8936719894											
12345	SNARC_only	DC	7	num_separator	1.1416769028											
12345	SNARC_only	DC	7	lctrl	1.387773037											
12345	SNARC_only	DC	6	num_separator	0.5359959602											
12345	SNARC_only	DC	4	lctrl	0.6205358505											
12345	SNARC_only	DC	3	lctrl	0.4681968689											
12345	SNARC_only	DC	5	lctrl	0.5072410107											
12345	SNARC_only	DC	7	lctrl	0.6535711288											
12345	SNARC_only	DC	2	num_separator	0.5043811798											
12345	SNARC_only	DC	7	lctrl	0.625756979											
12345	SNARC_only	DC	5	lctrl	0.5386991501											
