{'task':	'line'		'participant':	''		'dateStr':	'06_01_1214'		'notation':	'arabic'		'response_buttons':	'CD'		'range_in_instr':	True		'interactive_setting':	False		'autopilot':	False		'exp_id':	'SNARC'}
zsuzsi	SNARC	arabic	CD	up	9	lctrl	0.6446271944																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.4496623689																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.4038488679																		
zsuzsi	SNARC	arabic	CD	down	4	num_decimal	0.4801881668																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.3903098338																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.448762589																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.4954835675																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.6174866894																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.3890628008																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.5548694592																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.4623388287																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.7275211153																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.6475664463																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.5302606539																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.4290837556																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.5234644087																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	0.5706759039																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.5398165373																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.4647743066																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.4608104005																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.4690016465																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.4706002095																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.3663690209																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	1.0814775375																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.4416866594																		
zsuzsi	SNARC	arabic	CD	up	9	lctrl	0.5100117604																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.4528231445																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	2.3225064682																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.607646845																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	1.5685504735																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.4808424744																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.4359077982																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.437351979																		
zsuzsi	SNARC	arabic	CD	down	4	num_decimal	0.3878965938																		
zsuzsi	SNARC	arabic	CD	up	2	lctrl	0.5730198645																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.4911548741																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.4687677209																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.6577479846																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.46911027																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.3544080227																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.4340410974																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.419061304																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	0.3766762888																		
zsuzsi	SNARC	arabic	CD	up	9	lctrl	0.3830581394																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.475215002																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.4331870764																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.4133453076																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.5819034789																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.5097517481																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.4867744349																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.4843188573																		
zsuzsi	SNARC	arabic	CD	down	4	num_decimal	0.5331922082																		
zsuzsi	SNARC	arabic	CD	up	9	lctrl	0.3950807194																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	1.0407432591																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.4870806338																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.4838894947																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.5374931041																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.4460961788																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.7230962004																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.956768234																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.5594055637																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.4155789338																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.4158663159																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.5957863451																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.5105967884																		
zsuzsi	SNARC	arabic	CD	up	2	lctrl	0.4347809353																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.3748630445																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	0.3353420147																		
zsuzsi	SNARC	arabic	CD	up	9	lctrl	0.4076412854																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.4791870335																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.4943746659																		
zsuzsi	SNARC	arabic	CD	down	4	num_decimal	0.381602412																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.3593953002																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.440572626																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.3696046358																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.4135403169																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.5510560866																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.5501357795																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.3658862018																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.4849577694																		
zsuzsi	SNARC	arabic	CD	up	2	lctrl	0.8565270383																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.5039074561																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.6104205957																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.394767678																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	0.5580802703																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.3973305963																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.4649761585																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.4565261829																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.444705027																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.4567849124																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.4253802896																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.4545021062																		
zsuzsi	SNARC	arabic	CD	up	9	lctrl	0.5447152907																		
zsuzsi	SNARC	arabic	CD	up	9	lctrl	1.5272940322																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.4163747942																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.3331139479																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.4927778133																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.5344524987																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.4397263027																		
zsuzsi	SNARC	arabic	CD	down	4	num_decimal	0.4760878397																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	0.3523634187																		
zsuzsi	SNARC	arabic	CD	up	9	lctrl	0.3758312486																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.3930643402																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.3542245601																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.4747651122																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.472956572																		
zsuzsi	SNARC	arabic	CD	down	4	num_decimal	0.4715979216																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	0.4477225394																		
zsuzsi	SNARC	arabic	CD	up	9	lctrl	1.1582132701																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.4282314453																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.3326157333																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.4067004512																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.5333341886																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.6510462505																		
